contig_name,length,prop_gc,orf_length,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage,sCnuc,sCcov,sCord,sCseg
YOR107W,930,0.417204,309,0,0.713415,0.993548,0.99695,0.666778,0.943576,930,164.0,248.564,26.45,0.99695,0.993548,0.713415,0.943576
YGL222C,528,0.412879,175,0,0.460526,0.99053,0.998713,0.364716,0.800556,528,76.0,202.888,21.59,0.998713,0.99053,0.460526,0.800556
YML055W,537,0.359404,178,0,0.56,0.947858,0.995604,0.417615,0.790238,537,25.0,65.621,6.98,0.995604,0.947858,0.56,0.790238
YNL301C,561,0.447415,186,0,0.672131,0.955437,0.986792,0.550498,0.868709,561,61.8974,155.52,16.55,0.986792,0.955437,0.672131,0.868709
YIL061C,903,0.439646,300,0,0.774194,0.983389,0.996364,0.647617,0.85374,903,31.0,48.3895,5.15,0.996364,0.983389,0.774194,0.85374
YPL198W,735,0.410884,244,0,0.75,0.983673,0.991317,0.660408,0.902999,735,68.3707,131.117,13.95,0.991317,0.983673,0.75,0.902999
YPL237W,858,0.393939,285,0,0.783333,0.997669,0.995461,0.735249,0.945099,858,60.0,98.5692,10.49,0.995461,0.997669,0.783333,0.945099
YJR083C,930,0.387097,309,0,0.605263,0.813978,0.995316,0.078575,0.160238,930,38.0,57.5941,6.13,0.995316,0.813978,0.605263,0.160238
YDR237W,879,0.397042,292,0,0.707317,0.998862,0.995714,0.632381,0.898927,879,246.0,394.479,41.98,0.995714,0.998862,0.707317,0.898927
YGL051W,705,0.414184,234,1,0.795322,0.997163,0.992344,0.615684,0.782324,705,441.132,881.976,93.86,0.992344,0.997163,0.795322,0.782324
YAR033W,705,0.411348,234,4,0.626214,0.998582,0.982428,0.586907,0.95535,705,297.327,594.46,63.26,0.982428,0.998582,0.626214,0.95535
YMR117C,642,0.352025,213,0,0.612903,0.998442,0.995143,0.582226,0.956074,642,62.0,136.124,14.49,0.995143,0.998442,0.612903,0.956074
YGL076C,735,0.423129,244,0,0.636364,0.976871,0.977056,0.525425,0.865065,735,42.6293,81.7518,8.7,0.977056,0.976871,0.636364,0.865065
YNR028W,927,0.391586,308,0,0.641791,0.989213,0.996623,0.093523,0.14781,927,67.0,101.876,10.84,0.996623,0.989213,0.641791,0.14781
YEL035C,501,0.493014,166,0,0.836066,0.936128,0.996173,0.628336,0.805901,501,61.0,171.621,18.26,0.996173,0.936128,0.836066,0.805901
